Model,Accuracy,Precision,Recall,F1,ROC-AUC
tabnet,0.918059807,0.926365488,0.890879346,0.907622187,0.910230594
svm,0.861078408,0.852674651,0.865071575,0.848406989,0.849342858
xgboost,0.927712952,0.930632911,0.939672802,0.93513101,0.939936794
mlp,0.868848599,0.861498708,0.852249489,0.856849139,0.867635002
randomforest,0.926300918,0.914271306,0.926891616,0.920538208,0.926344105
naivebayes,0.773251707,0.725784447,0.81595092,0.768231047,0.77637354
stacking,0.936190252,0.923579688,0.939161554,0.93130545,0.93640749
